wagnum,month,target_month,target_day,60d_opor_station_sign_max,5d_st_river_sign_mean,60d_st_border_sign_mean,60d_st_car_sign_max,30d_st_car_sign_max,60d_avg_distance_max,5d_st_sea_sign_max,30d_st_freigh_sign_mean,10d_st_sea_sign_mean,60d_st_freigh_sign_max,10d_avg_distance_max,60d_st_sea_sign_mean,10d_opor_station_sign_mean,10d_naliv_mean,30d_diff_mean,30d_st_border_sign_mean,30d_st_freigh_sign_max,60d_st_freigh_sign_mean,30d_st_border_sign_max,5d_opor_station_sign_max,60d_st_ferry_sign_mean,5d_st_ferry_sign_max,10d_st_ferry_sign_mean,60d_naval_mean,10d_st_freigh_sign_mean,5d_st_sea_sign_mean,5d_skoroport_mean,10d_st_border_sign_mean,10d_opor_station_sign_max,5d_st_freigh_sign_mean,30d_opor_station_sign_mean,60d_opor_station_sign_mean,5d_openvagons_mean,10d_st_car_sign_max,60d_openvagons_mean,30d_openvagons_mean,5d_st_border_sign_max,10d_diff_mean,5d_diff_mean,10d_st_river_sign_mean,60d_st_sea_sign_max,60d_st_car_sign_mean,10d_another_road_max,60d_naliv_mean,10d_naval_mean,10d_skoroport_mean,5d_opor_station_sign_mean,30d_nasip_mean,10d_soprovod_mean,30d_isload_mean,60d_nasip_mean,60d_st_river_sign_max,60d_diff_mean,10d_nasip_mean,30d_avg_distance_max,5d_st_border_sign_mean,30d_naval_mean,5d_avg_distance_min,60d_skoroport_mean,5d_avg_distance_max,60d_isload_mean,10d_openvagons_mean,30d_st_sea_sign_mean,10d_smerz_mean,5d_smerz_mean,10d_isload_mean,10d_st_ferry_sign_max,5d_another_road_max,5d_soprovod_mean,30d_naliv_mean,5d_naval_mean,5d_st_car_sign_max,30d_st_ferry_sign_mean,60d_st_river_sign_mean,5d_naliv_mean,60d_st_ferry_sign_max,10d_st_border_sign_max,10d_st_freigh_sign_max,30d_st_car_sign_mean,10d_avg_distance_min,5d_st_car_sign_mean,30d_another_road_max,5d_st_ferry_sign_mean,30d_smerz_mean,30d_opor_station_sign_max,10d_st_river_sign_max,60d_smerz_mean,30d_soprovod_mean,30d_st_river_sign_max,30d_skoroport_mean,5d_st_freigh_sign_max,10d_st_sea_sign_max,30d_avg_distance_min,60d_st_border_sign_max,30d_st_ferry_sign_max,5d_st_river_sign_max,30d_st_river_sign_mean,30d_st_sea_sign_max,60d_soprovod_mean,60d_another_road_max,5d_isload_mean,10d_st_car_sign_mean,60d_avg_distance_min,5d_nasip_mean,date_kap,date_dep,kod_vrab,date_pl_rem,days_to_pl_rem,last_rem_date,days_from_last_rem,ost_prob,manage_type,rod_id_x,reestr_state,ownership_type,model,rod_id_y,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km,ownertype,expected_srok_sl_y,expected_srok_sl_y_b,date_build_b
171,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-16,2019-03-15,0,2025-03-16,805,2022-03-16,291,116848,0,0,1,0,11-280,0,680,680,138.0,257,2007-09-11,2039-10-01,1,,110,160,2,9,2,6,11,160000,0,32.07671232876712,long,"(2000, 2007]"
172,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-06,1,2022-10-06,-87,2019-10-06,1183,147628,0,0,1,0,11-280,0,680,680,138.0,257,2008-05-27,2041-12-12,1,,110,160,2,9,2,6,11,160000,0,33.56712328767123,long,"(2007, 2017]"
173,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-14,1,2023-05-14,133,2020-05-14,962,21598,0,0,1,0,11-280,0,680,680,138.0,257,2008-12-01,2040-12-01,1,,110,160,2,9,2,6,11,160000,0,32.02191780821918,long,"(2007, 2017]"
174,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-04,1,2022-12-04,-28,2019-12-04,1124,157477,0,0,1,0,11-280,0,680,680,138.0,247,2008-06-19,2042-04-25,1,,110,160,2,9,2,7,4,160000,0,33.87123287671233,long,"(2007, 2017]"
175,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01,2019-09-30,0,2024-12-01,700,2021-12-01,396,106403,0,0,1,0,11-280,0,680,680,138.0,258,2009-09-25,2041-06-06,1,,110,160,2,9,2,4,2,160000,0,31.71780821917808,long,"(2007, 2017]"
176,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-16,1,2022-10-16,-77,2019-10-16,1173,159897,0,0,1,0,11-280,0,680,680,138.0,258,2007-04-30,2042-04-11,1,,110,160,2,9,2,1,11,160000,0,34.97260273972603,long,"(2000, 2007]"
177,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-09,1,2022-11-09,-53,2019-11-09,1149,150577,0,0,1,0,11-280,0,680,680,138.0,258,2009-09-11,2040-01-18,1,,110,160,2,9,2,6,11,160000,0,30.372602739726027,long,"(2007, 2017]"
178,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-08,1,2022-11-08,-54,2019-11-08,1150,154447,0,0,1,0,11-280,0,680,680,138.0,257,2007-04-06,2039-10-06,1,,110,160,2,9,2,6,11,160000,0,32.52328767123288,long,"(2000, 2007]"
179,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-05,1,2022-12-05,-27,2019-12-05,1123,156646,0,0,1,0,11-280,0,680,680,138.0,257,2009-05-10,2041-10-13,1,,110,160,2,9,3,4,11,160000,0,32.44931506849315,long,"(2007, 2017]"
180,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-16,1,2022-12-16,-16,2019-12-16,1112,158595,0,0,1,0,11-280,0,680,680,138.0,257,2008-11-01,2039-07-04,1,,110,160,2,9,2,6,2,160000,0,30.69041095890411,long,"(2007, 2017]"
181,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-08,2018-10-14,0,2023-10-08,280,2021-10-08,450,115197,0,0,1,0,11-280,0,680,680,138.0,257,2008-08-05,2041-03-31,1,,110,160,2,9,2,6,4,160000,0,32.673972602739724,long,"(2007, 2017]"
182,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-03,1,2023-07-03,183,2020-07-03,912,42646,0,0,1,0,11-280,0,680,680,138.0,257,2007-07-23,2040-05-07,1,,110,160,2,9,2,1,1,160000,0,32.81369863013698,long,"(2000, 2007]"
183,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-28,2019-07-04,0,2024-06-28,544,2021-06-28,552,101160,0,0,1,0,11-280,0,680,680,138.0,257,2008-10-03,2041-09-18,1,,110,160,2,9,2,1,11,160000,0,32.98082191780822,long,"(2007, 2017]"
184,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-03,1,2022-11-03,-59,2019-11-03,1155,157218,0,0,1,0,11-280,0,680,680,138.0,258,2008-04-09,2039-04-15,1,,110,160,2,9,3,4,4,160000,0,31.035616438356165,long,"(2007, 2017]"
185,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-13,1,2022-08-13,-141,2019-08-13,1237,152022,0,0,1,0,11-280,0,680,680,138.0,258,2008-03-08,2040-09-22,1,,110,160,2,9,2,4,11,160000,0,32.56438356164384,long,"(2007, 2017]"
186,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-12,1,2022-09-12,-111,2019-09-12,1207,150235,0,0,1,0,11-280,0,680,680,138.0,258,2007-01-05,2041-08-16,1,,110,160,2,9,2,6,11,160000,0,34.635616438356166,long,"(2000, 2007]"
187,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-13,1,2023-08-13,224,2020-08-13,871,63371,0,0,1,0,11-280,0,680,680,138.0,258,2009-02-25,2042-03-26,1,,110,160,2,9,2,6,11,160000,0,33.1013698630137,long,"(2007, 2017]"
188,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-20,1,2022-12-20,-12,2019-12-20,1108,155265,0,0,1,0,11-280,0,680,680,138.0,257,2008-08-01,2040-05-28,1,,110,160,2,9,2,4,11,160000,0,31.843835616438355,long,"(2007, 2017]"
189,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-29,1,2023-05-29,148,2020-05-29,947,33929,0,0,1,0,11-280,0,680,680,138.0,257,2006-12-12,2039-08-29,1,,110,160,2,9,2,4,2,160000,0,32.73424657534247,long,"(2000, 2007]"
190,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-30,2019-01-18,0,2024-12-30,729,2021-12-30,367,103557,0,0,1,0,11-280,0,680,680,138.0,257,2010-04-26,2041-09-09,1,,110,160,2,9,2,6,11,160000,0,31.394520547945206,long,"(2007, 2017]"
191,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-13,1,2022-11-13,-49,2019-11-13,1145,148624,0,0,1,0,11-280,0,680,680,138.0,257,2008-06-30,2042-03-22,1,,110,160,2,9,2,4,11,160000,0,33.74794520547945,long,"(2007, 2017]"
192,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-23,1,2022-09-23,-100,2019-09-23,1196,142597,0,0,1,0,11-280,0,680,680,138.0,258,2009-03-26,2041-12-02,1,,110,160,2,9,2,6,11,160000,0,32.70958904109589,long,"(2007, 2017]"
193,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-16,1,2022-11-16,-46,2019-11-16,1142,149140,0,0,1,0,11-280,0,680,680,138.0,247,2007-03-21,2039-02-19,1,,110,160,2,9,2,4,11,160000,0,31.93972602739726,long,"(2000, 2007]"
194,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-11,1,2022-09-11,-112,2019-09-11,1208,137552,0,0,1,0,11-280,0,680,680,138.0,247,2007-12-21,2041-02-16,1,,110,160,2,9,2,6,1,160000,0,33.18082191780822,long,"(2000, 2007]"
195,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-23,1,2022-10-23,-70,2019-10-23,1166,144321,0,0,1,0,11-280,0,680,680,138.0,258,2007-10-28,2040-05-25,1,,110,160,2,9,2,6,11,160000,0,32.5972602739726,long,"(2000, 2007]"
196,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,1,2022-11-21,-41,2019-11-21,1137,158412,0,0,1,0,11-280,0,680,680,138.0,257,2008-08-16,2039-12-16,1,,110,160,2,9,2,1,11,160000,0,31.353424657534248,long,"(2007, 2017]"
197,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-24,1,2022-10-24,-69,2019-10-24,1165,153556,0,0,1,0,11-280,0,680,680,138.0,257,2008-10-10,2042-06-19,1,,110,160,2,9,2,1,2,160000,0,33.71232876712329,long,"(2007, 2017]"
198,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-28,2018-12-29,0,2024-12-28,727,2021-12-28,369,109137,0,0,1,0,11-280,0,680,680,138.0,257,2008-06-08,2039-03-22,1,,110,160,2,9,2,4,11,160000,0,30.805479452054794,long,"(2007, 2017]"
199,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-11,1,2023-05-11,130,2020-05-11,965,63702,0,0,1,0,11-280,0,680,680,138.0,258,2009-02-16,2041-05-12,1,,110,160,2,9,2,1,2,160000,0,32.25479452054795,long,"(2007, 2017]"
200,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-05,1,2022-12-05,-27,2019-12-05,1123,158126,0,0,1,0,11-280,0,680,680,138.0,258,2007-01-25,2041-03-06,1,,110,160,2,9,2,6,11,160000,0,34.134246575342466,long,"(2000, 2007]"
201,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-29,1,2023-06-29,179,2020-06-29,916,49385,0,0,1,0,11-280,0,680,680,138.0,258,2008-05-13,2039-08-23,1,,110,160,2,9,2,4,11,160000,0,31.2986301369863,long,"(2007, 2017]"
202,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-06,1,2022-11-06,-56,2019-11-06,1152,158014,0,0,1,0,11-280,0,680,680,138.0,258,2009-06-22,2039-12-18,1,,110,160,2,9,2,4,11,160000,0,30.50958904109589,long,"(2007, 2017]"
203,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-20,1,2023-05-20,139,2020-05-20,956,36005,0,0,1,0,11-280,0,680,680,138.0,257,2008-04-03,2039-01-22,1,,110,160,2,9,2,6,11,160000,0,30.824657534246576,long,"(2007, 2017]"
204,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-13,1,2023-04-13,102,2020-04-13,993,26070,0,0,1,0,11-280,0,680,680,138.0,257,2007-02-05,2042-10-08,1,,110,160,2,9,2,4,11,160000,0,35.6958904109589,long,"(2000, 2007]"
205,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-19,1,2022-09-19,-104,2019-09-19,1200,153795,0,0,1,0,11-280,0,680,680,138.0,257,2009-01-15,2041-12-05,1,,110,160,2,9,2,4,11,160000,0,32.90958904109589,long,"(2007, 2017]"
206,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-10,1,2022-12-10,-22,2019-12-10,1118,155452,0,0,1,0,11-280,0,680,680,138.0,257,2009-04-03,2040-06-08,1,,110,160,2,9,2,1,11,160000,0,31.202739726027396,long,"(2007, 2017]"
207,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-29,1,2022-12-29,-3,2019-12-29,1099,159999,0,0,1,0,11-280,0,680,680,138.0,260,2008-09-18,2039-02-15,1,,110,160,2,9,2,1,11,160000,0,30.43013698630137,long,"(2007, 2017]"
208,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-05,1,2022-11-05,-57,2019-11-05,1153,151621,0,0,1,0,11-280,0,680,680,138.0,258,2007-03-17,2040-10-21,1,,110,160,2,9,2,6,11,160000,0,33.62191780821918,long,"(2000, 2007]"
209,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-06,1,2022-11-06,-56,2019-11-06,1152,147544,0,0,1,0,11-280,0,680,680,138.0,258,2009-03-29,2040-09-01,1,,110,160,2,9,2,4,11,160000,0,31.44931506849315,long,"(2007, 2017]"
210,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-20,1,2022-10-20,-73,2019-10-20,1169,151100,0,0,1,0,11-280,0,680,680,138.0,258,2008-03-20,2041-10-13,1,,110,160,2,9,2,6,1,160000,0,33.58904109589041,long,"(2007, 2017]"
211,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31,2019-05-12,0,2024-10-31,669,2021-10-31,427,104672,0,0,1,0,11-280,0,680,680,138.0,257,2007-08-12,2039-08-23,1,,110,160,2,9,2,4,11,160000,0,32.05205479452055,long,"(2000, 2007]"
212,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24,2019-11-20,0,2024-10-24,662,2021-10-24,434,116379,0,0,1,0,11-280,0,680,680,138.0,257,2008-12-16,2042-02-11,1,,110,160,2,9,2,6,11,160000,0,33.178082191780824,long,"(2007, 2017]"
213,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-15,1,2022-08-15,-139,2019-08-15,1235,139858,0,0,1,0,11-280,0,680,680,138.0,257,2009-11-30,2041-09-15,1,,110,160,2,9,2,6,2,160000,0,31.813698630136987,long,"(2007, 2017]"
214,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-29,1,2022-11-29,-33,2019-11-29,1129,159536,0,0,1,0,11-280,0,680,680,138.0,257,2008-02-11,2041-03-13,1,,110,160,2,9,2,6,11,160000,0,33.106849315068494,long,"(2007, 2017]"
215,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-24,1,2022-10-24,-69,2019-10-24,1165,139818,0,0,1,0,11-280,0,680,680,138.0,258,2010-10-19,2039-07-17,1,,110,160,2,9,2,4,2,160000,0,28.76164383561644,long,"(2007, 2017]"
216,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-30,1,2022-07-30,-155,2019-07-30,1251,125701,0,0,1,0,11-280,0,680,680,138.0,260,2009-08-30,2040-01-16,1,,110,160,2,9,2,4,2,160000,0,30.4,long,"(2007, 2017]"
217,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-18,1,2022-09-18,-105,2019-09-18,1201,144564,0,0,1,0,11-280,0,680,680,138.0,258,2010-07-10,2040-11-24,1,,110,160,2,9,2,6,12,160000,0,30.397260273972602,long,"(2007, 2017]"
218,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-28,1,2022-11-28,-34,2019-11-28,1130,155531,0,0,1,0,11-280,0,680,680,138.0,258,2009-11-18,2039-02-01,1,,110,160,2,9,2,6,12,160000,0,29.224657534246575,long,"(2007, 2017]"
219,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-19,1,2022-12-19,-13,2019-12-19,1109,156733,0,0,1,0,11-280,0,680,680,138.0,257,2010-11-24,2040-02-12,1,,110,160,2,9,3,6,11,160000,0,29.23835616438356,long,"(2007, 2017]"
220,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-27,1,2022-10-27,-66,2019-10-27,1162,150212,0,0,1,0,11-280,0,680,680,138.0,257,2010-09-23,2040-11-24,1,,110,160,2,9,2,4,2,160000,0,30.19178082191781,long,"(2007, 2017]"
221,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-12,2019-05-13,0,2025-05-12,862,2022-05-12,234,142227,0,0,1,0,11-280,0,680,680,138.0,257,2009-05-12,2041-02-20,1,,110,160,2,9,2,4,11,160000,0,31.8,long,"(2007, 2017]"
222,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-26,1,2023-10-26,298,2020-10-26,797,83799,0,0,1,0,11-280,0,680,680,138.0,257,2010-04-18,2041-05-19,1,,110,160,2,9,2,4,11,160000,0,31.106849315068494,long,"(2007, 2017]"
223,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-28,1,2022-11-28,-34,2019-11-28,1130,158287,0,0,1,0,11-280,0,680,680,138.0,258,2007-09-22,2040-04-13,1,,110,160,2,9,2,4,11,160000,0,32.58082191780822,long,"(2000, 2007]"
224,2023-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-28,1,2022-12-28,-4,2019-12-28,1100,11428,0,0,1,0,11-280,0,680,680,138.0,257,2009-08-04,2040-06-22,1,,110,160,2,9,2,6,11,160000,0,30.904109589041095,long,"(2007, 2017]"
